hour_number,session_length_hours,total_number_of_orders,DA_price,Ask_mean_price,Ask_price_std,Bid_mean_price,Bid_price_std,Anomaly,Anomaly_score
0,9.590965555555556,934,2.01,8.32355460385439,110.99528267352488,-10.234025695931477,25.494860980251296,1,0.03475798317382206
1,10.590917777777776,305,1.38,24.98609836065573,237.16755398247403,-12.031344262295084,43.99463421038338,-1,-0.0010761540953203586
2,11.591348333333332,629,0.09,8.866486486486485,135.21806848848485,-10.724483306836248,50.02359700119551,1,0.02943991838486515
3,12.432471666666666,555,0.08,14.69209009009009,176.0564116148966,-12.037135135135134,50.56629487273905,1,0.02798712730273961
4,13.191237777777776,974,0.05,8.56482546201232,133.09934152585026,-12.035770020533882,28.31695418869497,1,0.06430245158721498
5,14.33288,805,0.0,11.73732919254658,146.16192550085205,-11.8407950310559,36.70012104124135,1,0.04616854717914953
6,15.360138055555556,726,-0.38,10.5845041322314,154.0881368674144,-17.88677685950413,33.899209850578934,1,0.05034452967533165
7,16.59996027777778,853,0.0,8.533505275498241,142.28453285557316,-9.386459554513484,27.23836638664248,1,0.070387213859334
8,17.591259444444443,542,0.0,16.177730627306275,178.0623012930882,-14.028505535055354,33.691501500574084,1,0.05960199579834774
9,18.64094638888889,1331,0.04,14.81911344853494,113.86550572011544,-8.08451540195342,21.826113627074808,1,0.09426365373036533
10,19.43923583333333,1377,0.8,15.545127087872183,111.69084123918635,-5.955570079883805,21.54094678748084,1,0.10001172934217234
11,20.59096444444444,1250,0.08,14.5522,117.1721011959713,-4.60024,22.45183945823697,1,0.10080224284425515
12,21.42113527777778,1592,0.04,9.72641959798995,104.18399277403644,-8.920263819095478,20.664099313378845,1,0.10890166000306978
13,22.47918166666667,23634,0.0,9.473100194634847,27.01086161272788,3.2560654142337317,6.370172899734823,-1,-0.019332065129709197
14,23.667729444444443,1896,0.85,35.62573839662447,122.9846791551497,14.280975738396624,23.994362267635825,1,0.10219672986629236
15,24.631754444444447,936,23.53,56.78586538461538,174.66148006562736,29.76010683760684,34.41673729730611,1,0.08795837163804154
16,25.592143611111112,1049,36.54,71.44677788369874,147.67587676124853,37.78702573879886,36.98458020860043,1,0.09532872840038359
17,26.662058055555555,3891,46.03,81.93875610382933,77.3357301058011,65.54960164482138,23.12393769606183,1,0.13083041500502757
18,27.607376111111112,9454,55.57,82.88232705733023,45.08947169153157,65.81000528876665,19.09192226765806,1,0.07886407747592855
19,28.643776944444443,11281,54.95,80.2542841946636,42.94880762515321,69.79105132523713,19.253185373209927,1,0.059800521145581265
20,29.591138055555557,12353,49.23,75.02238889338622,46.18857855580893,62.54635392212419,17.83081227404014,1,0.03479154960260761
21,30.624295,2691,44.99,96.57575622445188,91.59263320674737,71.95114083983648,27.9404973784248,1,0.09297224334509019
22,31.39520555555556,1188,45.96,491.7342508417509,908.7133688806964,53.81425084175084,31.291436964826566,-1,-0.07088537368591985
23,8.924076666666666,1488,35.0,253.1843077956989,667.9982189399798,-215.81455645161293,217.9918875616896,-1,-0.1331270655870075
0,9.932235833333332,1978,57.91,131.3598281092012,435.2083795674163,-287.35522750252784,193.3984171668533,-1,-0.0947417775876449
1,10.9410175,2388,51.67,56.61878559463987,151.29000460136967,-186.50322026800671,216.74095831920607,-1,-0.054437867984737265
2,11.891857222222225,2215,52.93,487.2370248306998,948.2603145232226,-185.48957562076748,218.86145753698335,-1,-0.14444431137862768
3,12.891876111111111,2091,44.16,181.08712577714016,552.6694147619478,-197.36799617407937,220.576923194352,-1,-0.08512003618356612
4,13.892080555555555,2147,50.08,188.80037727061017,539.8240437875683,-10.504224499301346,152.05966549989597,-1,-0.048837555922325526
5,14.93808111111111,2674,77.09,447.17952131638,859.6097932436985,-17.976851159311884,183.53377256763773,-1,-0.10352047214502624
6,15.890090833333332,1757,105.08,1302.7255093910076,1205.574661277513,56.29505406943656,146.34945011332883,-1,-0.14191554757970104
7,16.9339775,1250,140.64,864.2622640000001,1111.9398550150684,100.0194,75.42052145514013,-1,-0.09835465592908443
8,17.90855722222222,1295,145.98,709.2185096525097,1037.9888489426223,106.78488030888028,52.27016170143354,-1,-0.07231227467751156
9,18.92187388888889,2036,147.05,399.335884086444,752.9544026739586,94.58390471512772,93.37750443534952,-1,-0.04470850417244587
10,19.9412125,1959,145.61,335.70672281776416,680.7363942557582,103.73550791220008,81.00394930305147,-1,-0.023722237664599466
11,20.935268055555557,1709,143.35,404.9685956699825,759.1270484770046,92.24550029256876,117.32381215479954,-1,-0.055707688068148076
12,21.934046111111112,1571,144.38,1388.1167027371102,1204.9079015554053,110.47595798854232,71.06695269781622,-1,-0.12193325416223877
13,22.9211375,2532,143.76,1215.4023657187993,1202.5305183400567,95.92785545023698,113.41195078900684,-1,-0.13062102910201945
14,23.91853194444444,1872,148.2,541.5575641025641,895.6178069799224,89.62233440170941,135.66450897983228,-1,-0.08009766574274901
15,24.94067,3342,155.34,294.1140843806104,572.5113085185886,6.135763016158012,201.03653200709064,-1,-0.06905743167601941
16,25.927725,2251,162.89,463.2295513105286,795.8634919597279,5.294584629053761,209.68448076043168,-1,-0.10396106943006234
17,26.891402222222226,2742,170.0,517.4069803063458,849.1344458723084,144.8503792851933,83.82771244483676,-1,-0.0782582644804708
18,27.91774,1719,174.74,328.4565619546248,607.2615784836331,154.52576497963935,29.977489680185723,1,0.001103911763602028
19,28.93719361111111,3253,164.46,178.54091915155246,240.45351561133364,143.61540424223796,30.52216920291881,1,0.06976938007393363
20,29.923670277777777,2357,153.0,156.63482817140434,215.1263125954293,129.70677980483666,14.5160836689634,1,0.08194190160524911
21,30.905624444444445,485,141.67,142.511587628866,218.6468130250884,79.11977319587628,123.28366896562636,-1,-0.01865563374459711
22,31.8998175,409,134.91,150.26476772616138,290.0887331338183,44.45916870415649,155.28665283222722,-1,-0.05697953904195374
23,8.688822777777778,2062,124.22,142.3896556741028,78.98494381690777,118.31977206595538,12.920116154746635,1,0.07318323278588285
0,9.730433888888887,2552,130.01,135.0163832288401,83.76414774612779,100.52684169278996,28.49813855251028,1,0.08130229003351941
1,10.738660555555557,2611,120.0,136.3868402910762,83.06195637563134,91.3328111834546,35.04720817017154,1,0.09256687504004235
2,11.77600111111111,1983,118.76,247.6093393847705,87.83007082536135,103.48636409480586,12.838619776378753,1,0.09376849992431746
3,12.75606111111111,1830,115.0,175.60192896174863,86.6413720949574,103.797,13.990548712239494,1,0.11968612594422046
4,13.740853333333334,2392,113.63,140.29810200668894,76.80056613400723,110.2151923076923,15.368644804434098,1,0.13570616168790156
5,14.72212,2959,116.27,170.1129030077729,67.04112649641087,140.47023318688747,33.87937323122436,1,0.12082303714294085
6,15.738994166666666,2642,138.92,199.3656169568509,69.84825162339078,153.5371461014383,62.20393379204771,1,0.06926597943998836
7,16.787838333333333,1984,159.92,217.8078881048387,78.6512568030385,180.27660282258063,22.655228619767456,1,0.06975011895242811
8,17.788085555555554,1657,169.17,220.09624019312008,88.74973676315454,174.83811707905855,20.73379259250205,1,0.0663619744277279
9,18.786630833333334,1361,171.18,197.13608376193977,93.45868617228072,171.50087435709037,17.485515759258877,1,0.06867086824789032
10,19.75771861111111,1539,168.57,193.8904808317089,88.88660202710362,168.26278102664065,15.596326530101694,1,0.07763593565940125
11,20.75167111111111,523,169.49,202.3420841300191,148.6626824051717,164.56843212237095,25.65376259865373,1,0.05457002254425192
12,21.776597777777777,2227,164.5,190.66367759317467,72.75063843015289,166.1148854961832,13.950990005121556,1,0.09151826159097254
13,22.786416111111112,1822,160.91,183.67535675082328,80.35739758328482,163.44834796926455,15.513718457110633,1,0.08816307278513202
14,23.785129166666664,1502,163.06,191.9846537949401,88.9782128800927,173.54503994673772,16.423057456543273,1,0.08215821734865086
15,24.76628583333333,1752,167.73,212.0813356164384,94.47082209821416,176.6854223744292,16.413777863797943,1,0.07385941961018372
16,25.76518555555556,2383,166.61,194.70490977759127,71.41341074502945,178.7232480067142,14.42970678471004,1,0.08354100116980806
17,26.73444055555556,2810,170.72,195.07368327402136,68.8031746211006,171.46189323843416,13.563428362268963,1,0.08429968760598083
18,27.780194444444444,1735,168.93,194.70291642651296,86.20196240725673,163.03268587896255,17.6794481176913,1,0.08120213185972658
19,28.729706944444445,2750,160.99,183.25574909090903,72.38502793578277,145.0274690909091,12.016176391998435,1,0.10624264754687318
20,29.67224111111111,3674,149.62,141.41571584104517,69.29430363764406,121.54068317909636,13.642359198234814,1,0.11811456475013404
21,30.620562777777774,3450,130.99,127.38861449275362,67.0688903900698,102.95851014492752,14.42745562770114,1,0.12065844955667493
22,31.656585555555555,1520,114.27,99.47447368421052,88.85208488641615,83.84031578947368,14.309007950389368,1,0.08740379070376925
23,8.415499444444444,2266,93.66,75.09606354810238,11.750117028901004,49.152025595763455,13.694029446204532,1,0.08495280108981551
0,9.355700555555554,2653,80.89,60.0489709762533,20.82657364505496,-20.49440256313608,139.68390036852378,-1,-0.015963851057169687
1,10.372514166666669,1243,70.67,37.20917940466613,27.31766628823886,9.798390989541431,9.498683711758266,1,0.09413683980136134
2,11.40901861111111,2080,40.0,15.23379326923077,27.78885614269913,-6.665370192307693,7.504980655486497,1,0.09272716650561319
3,12.41800972222222,722,8.68,37.34486149584488,38.408479563866806,-9.249016620498615,7.493492914757687,1,0.09041990255091564
4,13.372540555555556,1373,0.85,15.4115804806992,23.61374401316958,-4.526642388929352,7.383885664629327,1,0.1005067296151978
5,14.417447777777776,3681,11.02,41.13121162727519,22.32031037089985,19.75143710948112,23.589999711429464,1,0.11341535351814575
6,15.372531388888888,1636,61.02,82.32575794621027,13.163885950165255,58.36063569682152,19.706531588306007,1,0.14266187592615637
7,16.411481666666667,982,79.2,92.21447046843178,12.96571152330049,67.50710794297352,23.522319090581647,1,0.14222187037459139
8,17.42231277777778,1075,84.2,108.65591627906976,22.43832100467441,54.02169302325581,29.12019160551964,1,0.13624452751668303
9,18.3431575,874,83.32,96.5295652173913,16.150073315037293,80.37094965675057,25.340799065229938,1,0.14770127206123207
